,id,deveui,unix_time,client_id,created_at,Status,Sensor ID,Events,Height,Voltage,Temperature,Tilt,Tx Event,Messagetype
7261,597834,70B3D500700016DE,1588978559040,hi3,2020-05-09 00:55:59.218052,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3580 mV,17 C,2 Degree,159 Times,
7260,598067,70B3D500700016DE,1588982158751,hi3,2020-05-09 01:55:58.92617,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3580 mV,16 C,2 Degree,160 Times,
7259,598318,70B3D500700016DE,1588985758623,hi3,2020-05-09 02:55:58.795641,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3580 mV,13 C,2 Degree,161 Times,
7258,598833,70B3D500700016DE,1588992962405,hi3,2020-05-09 04:56:02.572673,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3570 mV,15 C,2 Degree,163 Times,
7257,599091,70B3D500700016DE,1588996558300,hi3,2020-05-09 05:55:58.464033,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3580 mV,14 C,2 Degree,164 Times,
7256,599344,70B3D500700016DE,1589000158267,hi3,2020-05-09 06:55:58.426292,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3580 mV,16 C,2 Degree,165 Times,
7255,599596,70B3D500700016DE,1589003758138,hi3,2020-05-09 07:55:58.292551,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,17 C,2 Degree,166 Times,
7254,599840,70B3D500700016DE,1589007358009,hi3,2020-05-09 08:55:58.160454,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,17 C,2 Degree,167 Times,
7253,600342,70B3D500700016DE,1589014557571,hi3,2020-05-09 10:55:57.716933,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3620 mV,26 C,3 Degree,169 Times,
7252,600587,70B3D500700016DE,1589018157542,hi3,2020-05-09 11:55:57.684182,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3620 mV,23 C,2 Degree,170 Times,
7251,601076,70B3D500700016DE,1589025357265,hi3,2020-05-09 13:55:57.39848,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3620 mV,22 C,2 Degree,172 Times,
7250,601321,70B3D500700016DE,1589028957096,hi3,2020-05-09 14:55:57.226406,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,22 C,2 Degree,173 Times,
7249,601582,70B3D500700016DE,1589032556967,hi3,2020-05-09 15:55:57.098486,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,20 C,2 Degree,174 Times,
7248,601824,70B3D500700016DE,1589036156818,hi3,2020-05-09 16:55:56.947603,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,17 C,2 Degree,175 Times,
7247,602362,70B3D500700016DE,1589043356540,hi3,2020-05-09 18:55:56.658199,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,20 C,1 Degree,177 Times,
7246,602638,70B3D500700016DE,1589046958053,hi3,2020-05-09 19:55:58.227015,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,20 C,2 Degree,178 Times,
7245,602899,70B3D500700016DE,1589050557925,hi3,2020-05-09 20:55:58.095222,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,18 C,1 Degree,179 Times,
7244,603142,70B3D500700016DE,1589054157795,hi3,2020-05-09 21:55:57.961578,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,16 C,2 Degree,180 Times,
7243,603384,70B3D500700016DE,1589057757666,hi3,2020-05-09 22:55:57.831291,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,15 C,2 Degree,181 Times,
7242,603640,70B3D500700016DE,1589061357517,hi3,2020-05-09 23:55:57.676563,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,16 C,1 Degree,182 Times,
7241,603884,70B3D500700016DE,1589064957408,hi3,2020-05-10 00:55:57.564471,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,16 C,2 Degree,183 Times,
7240,604137,70B3D500700016DE,1589068557279,hi3,2020-05-10 01:55:57.431858,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,14 C,1 Degree,184 Times,
7239,604391,70B3D500700016DE,1589072157171,hi3,2020-05-10 02:55:57.319263,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3570 mV,15 C,2 Degree,185 Times,
7238,604656,70B3D500700016DE,1589075757021,hi3,2020-05-10 03:55:57.166703,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,15 C,2 Degree,186 Times,
7237,604927,70B3D500700016DE,1589079365973,hi3,2020-05-10 04:56:06.117185,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,15 C,2 Degree,187 Times,
7236,605205,70B3D500700016DE,1589082956844,hi3,2020-05-10 05:55:57.311484,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,14 C,2 Degree,188 Times,
7235,605467,70B3D500700016DE,1589086556715,hi3,2020-05-10 06:55:56.850357,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,14 C,1 Degree,189 Times,
7234,605965,70B3D500700016DE,1589093756457,hi3,2020-05-10 08:55:56.583696,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,17 C,2 Degree,191 Times,
7233,606223,70B3D500700016DE,1589097356168,hi3,2020-05-10 09:55:56.291222,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3630 mV,23 C,2 Degree,192 Times,
7232,606475,70B3D500700016DE,1589100956020,hi3,2020-05-10 10:55:56.140001,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3640 mV,29 C,2 Degree,193 Times,
7231,606737,70B3D500700016DE,1589104555851,hi3,2020-05-10 11:55:55.967052,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,50 cm,3650 mV,32 C,3 Degree,194 Times,
7230,607498,70B3D500700016DE,1589115355604,hi3,2020-05-10 14:55:55.714792,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3660 mV,47 C,3 Degree,197 Times,
7229,608001,70B3D500700016DE,1589122555366,hi3,2020-05-10 16:55:55.464462,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3650 mV,45 C,3 Degree,199 Times,
7228,608256,70B3D500700016DE,1589126155137,hi3,2020-05-10 17:55:55.235667,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3640 mV,35 C,2 Degree,200 Times,
7227,608509,70B3D500700016DE,1589129754928,hi3,2020-05-10 18:55:55.022592,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3620 mV,29 C,1 Degree,201 Times,
7226,608778,70B3D500700016DE,1589133356481,hi3,2020-05-10 19:55:56.673408,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3610 mV,22 C,2 Degree,202 Times,
7225,609038,70B3D500700016DE,1589136956312,hi3,2020-05-10 20:55:56.499824,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,20 C,2 Degree,203 Times,
7224,609308,70B3D500700016DE,1589140556183,hi3,2020-05-10 21:55:56.367396,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,20 C,1 Degree,204 Times,
7223,610085,70B3D500700016DE,1589151355796,hi3,2020-05-11 00:55:55.970602,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3580 mV,16 C,1 Degree,207 Times,
7222,610346,70B3D500700016DE,1589154955647,hi3,2020-05-11 01:55:55.816918,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3580 mV,16 C,2 Degree,208 Times,
7221,610597,70B3D500700016DE,1589158555538,hi3,2020-05-11 02:55:55.704802,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3590 mV,15 C,2 Degree,209 Times,
7220,610867,70B3D500700016DE,1589162155429,hi3,2020-05-11 03:55:55.59195,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3580 mV,14 C,2 Degree,210 Times,
7219,611136,70B3D500700016DE,1589165759360,hi3,2020-05-11 04:55:59.521275,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3570 mV,12 C,1 Degree,211 Times,
7218,611414,70B3D500700016DE,1589169355191,hi3,2020-05-11 05:55:55.345688,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3570 mV,12 C,2 Degree,212 Times,
7217,611678,70B3D500700016DE,1589172955123,hi3,2020-05-11 06:55:55.275883,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3560 mV,12 C,1 Degree,213 Times,
7216,611953,70B3D500700016DE,1589176554934,hi3,2020-05-11 07:55:55.082215,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,80 cm,3560 mV,11 C,1 Degree,214 Times,
7215,612216,70B3D500700016DE,1589180154945,hi3,2020-05-11 08:55:55.088776,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3550 mV,10 C,1 Degree,215 Times,
7214,612716,70B3D500700016DE,1589187334567,hi3,2020-05-11 10:55:34.703944,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3550 mV,8 C,1 Degree,217 Times,
7213,612981,70B3D500700016DE,1589190934498,hi3,2020-05-11 11:55:34.632654,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3550 mV,8 C,1 Degree,218 Times,
7212,613236,70B3D500700016DE,1589194534410,hi3,2020-05-11 12:55:34.538275,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3550 mV,9 C,0 Degree,219 Times,
7211,613509,70B3D500700016DE,1589198134321,hi3,2020-05-11 13:55:34.445766,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3560 mV,10 C,1 Degree,220 Times,
7210,613756,70B3D500700016DE,1589201734232,hi3,2020-05-11 14:55:34.353961,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3560 mV,10 C,1 Degree,221 Times,
7209,614039,70B3D500700016DE,1589205334143,hi3,2020-05-11 15:55:34.262695,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3560 mV,10 C,1 Degree,222 Times,
7208,614290,70B3D500700016DE,1589208934054,hi3,2020-05-11 16:55:34.168143,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3570 mV,10 C,1 Degree,223 Times,
7207,614808,70B3D500700016DE,1589216133856,hi3,2020-05-11 18:55:33.963204,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3590 mV,13 C,2 Degree,225 Times,
7206,615063,70B3D500700016DE,1589219735388,hi3,2020-05-11 19:55:35.582604,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3590 mV,15 C,1 Degree,226 Times,
7205,615549,70B3D500700016DE,1589226935187,hi3,2020-05-11 21:55:35.377422,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3570 mV,10 C,1 Degree,228 Times,
7204,615799,70B3D500700016DE,1589230535119,hi3,2020-05-11 22:55:35.306224,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3560 mV,10 C,1 Degree,229 Times,
7203,616060,70B3D500700016DE,1589234135050,hi3,2020-05-11 23:55:35.229344,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3560 mV,8 C,2 Degree,230 Times,
7202,616299,70B3D500700016DE,1589237734981,hi3,2020-05-12 00:55:35.156154,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3560 mV,9 C,1 Degree,231 Times,
7201,616561,70B3D500700016DE,1589241334934,hi3,2020-05-12 01:55:35.107498,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3550 mV,5 C,1 Degree,232 Times,
7200,616828,70B3D500700016DE,1589244934843,hi3,2020-05-12 02:55:35.013464,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3550 mV,9 C,1 Degree,233 Times,
7199,617081,70B3D500700016DE,1589248534814,hi3,2020-05-12 03:55:34.979993,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3550 mV,7 C,2 Degree,234 Times,
7198,617647,70B3D500700016DE,1589255734696,hi3,2020-05-12 05:55:34.869875,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3550 mV,5 C,1 Degree,236 Times,
7197,617936,70B3D500700016DE,1589259334627,hi3,2020-05-12 06:55:34.781805,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3550 mV,9 C,2 Degree,237 Times,
7196,618234,70B3D500700016DE,1589262934639,hi3,2020-05-12 07:55:34.789276,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3580 mV,12 C,2 Degree,238 Times,
7195,618494,70B3D500700016DE,1589266534450,hi3,2020-05-12 08:55:34.595892,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3610 mV,16 C,1 Degree,239 Times,
7194,618748,70B3D500700016DE,1589270134302,hi3,2020-05-12 09:55:34.444571,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3630 mV,22 C,2 Degree,240 Times,
7193,619021,70B3D500700016DE,1589273734153,hi3,2020-05-12 10:55:34.292158,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3650 mV,32 C,3 Degree,241 Times,
7192,619307,70B3D500700016DE,1589277333983,hi3,2020-05-12 11:55:34.119692,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3650 mV,30 C,3 Degree,242 Times,
7191,619596,70B3D500700016DE,1589280933834,hi3,2020-05-12 12:55:33.968722,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3650 mV,30 C,2 Degree,243 Times,
7190,619870,70B3D500700016DE,1589284533705,hi3,2020-05-12 13:55:33.833765,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3640 mV,40 C,3 Degree,244 Times,
7189,620159,70B3D500700016DE,1589288133597,hi3,2020-05-12 14:55:33.721383,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3650 mV,42 C,2 Degree,245 Times,
7188,620441,70B3D500700016DE,1589291733428,hi3,2020-05-12 15:55:33.549708,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3650 mV,37 C,2 Degree,246 Times,
7187,620720,70B3D500700016DE,1589295333319,hi3,2020-05-12 16:55:33.436903,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,74 cm,3650 mV,36 C,3 Degree,247 Times,
7186,621007,70B3D500700016DE,1589298933110,hi3,2020-05-12 17:55:33.224607,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3620 mV,22 C,2 Degree,248 Times,
7185,621275,70B3D500700016DE,1589302533165,hi3,2020-05-12 18:55:33.275868,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3600 mV,17 C,2 Degree,249 Times,
7184,621797,70B3D500700016DE,1589309734399,hi3,2020-05-12 20:55:34.58927,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3570 mV,14 C,2 Degree,251 Times,
7183,622077,70B3D500700016DE,1589313334370,hi3,2020-05-12 21:55:34.554503,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3560 mV,12 C,2 Degree,252 Times,
7182,622354,70B3D500700016DE,1589316934341,hi3,2020-05-12 22:55:34.522442,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3550 mV,11 C,1 Degree,253 Times,
7181,622634,70B3D500700016DE,1589320534093,hi3,2020-05-12 23:55:34.270056,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3550 mV,11 C,2 Degree,254 Times,
7180,622906,70B3D500700016DE,1589324134003,hi3,2020-05-13 00:55:34.181741,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3550 mV,9 C,1 Degree,255 Times,
7179,623190,70B3D500700016DE,1589327733915,hi3,2020-05-13 01:55:34.087913,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3550 mV,8 C,2 Degree,0 Times,
7178,623483,70B3D500700016DE,1589331333825,hi3,2020-05-13 02:55:33.995037,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3550 mV,8 C,1 Degree,1 Times,
7177,623772,70B3D500700016DE,1589334933757,hi3,2020-05-13 03:55:33.920182,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3540 mV,8 C,1 Degree,2 Times,
7176,624065,70B3D500700016DE,1589338533668,hi3,2020-05-13 04:55:33.825891,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3530 mV,6 C,1 Degree,3 Times,
7175,624367,70B3D500700016DE,1589342133679,hi3,2020-05-13 05:55:33.860199,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3540 mV,8 C,0 Degree,4 Times,
7174,624662,70B3D500700016DE,1589345733610,hi3,2020-05-13 06:55:33.76186,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3550 mV,8 C,1 Degree,5 Times,
7173,624959,70B3D500700016DE,1589349333442,hi3,2020-05-13 07:55:33.5896,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3570 mV,13 C,1 Degree,6 Times,
7172,625247,70B3D500700016DE,1589352933453,hi3,2020-05-13 08:55:33.597647,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3610 mV,20 C,2 Degree,7 Times,
7171,626049,70B3D500700016DE,1589363732846,hi3,2020-05-13 11:55:32.981602,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,72 cm,3650 mV,35 C,3 Degree,10 Times,
7170,626329,70B3D500700016DE,1589367332718,hi3,2020-05-13 12:55:32.848905,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,76 cm,3650 mV,36 C,3 Degree,11 Times,
7169,626629,70B3D500700016DE,1589370932529,hi3,2020-05-13 13:55:32.65679,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,50 cm,3650 mV,35 C,2 Degree,12 Times,
7168,626913,70B3D500700016DE,1589374532500,hi3,2020-05-13 14:55:32.623085,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3630 mV,29 C,1 Degree,13 Times,
7167,627456,70B3D500700016DE,1589381732062,hi3,2020-05-13 16:55:32.17954,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3640 mV,31 C,2 Degree,15 Times,
7166,627707,70B3D500700016DE,1589385332033,hi3,2020-05-13 17:55:32.146194,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3630 mV,26 C,2 Degree,16 Times,
7165,628191,70B3D500700016DE,1589392533257,hi3,2020-05-13 19:55:33.434827,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3600 mV,16 C,2 Degree,18 Times,
7164,628435,70B3D500700016DE,1589396133129,hi3,2020-05-13 20:55:33.300905,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3590 mV,16 C,2 Degree,19 Times,
7163,628674,70B3D500700016DE,1589399732999,hi3,2020-05-13 21:55:33.16856,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3590 mV,16 C,2 Degree,20 Times,
7162,628919,70B3D500700016DE,1589403332890,hi3,2020-05-13 22:55:33.056463,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3580 mV,13 C,1 Degree,21 Times,
7161,629408,70B3D500700016DE,1589410532674,hi3,2020-05-14 00:55:32.830692,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3570 mV,13 C,1 Degree,23 Times,
7160,629622,70B3D500700016DE,1589414132564,hi3,2020-05-14 01:55:32.717475,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3570 mV,12 C,2 Degree,24 Times,
7159,629868,70B3D500700016DE,1589417732475,hi3,2020-05-14 02:55:32.624269,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3570 mV,9 C,1 Degree,25 Times,
7158,630109,70B3D500700016DE,1589421332386,hi3,2020-05-14 03:55:32.534573,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,10 C,1 Degree,26 Times,
7157,630368,70B3D500700016DE,1589424932297,hi3,2020-05-14 04:55:32.443569,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,11 C,1 Degree,27 Times,
7156,630613,70B3D500700016DE,1589428532188,hi3,2020-05-14 05:55:32.330213,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3550 mV,8 C,1 Degree,28 Times,
7155,630871,70B3D500700016DE,1589432132120,hi3,2020-05-14 06:55:32.253643,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3550 mV,8 C,1 Degree,29 Times,
7154,631121,70B3D500700016DE,1589435732051,hi3,2020-05-14 07:55:32.1835,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3570 mV,12 C,1 Degree,30 Times,
7153,631435,70B3D500700016DE,1589439331942,hi3,2020-05-14 08:55:32.068903,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,78 cm,3600 mV,15 C,1 Degree,31 Times,
7152,631976,70B3D500700016DE,1589446531605,hi3,2020-05-14 10:55:31.725907,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3640 mV,26 C,2 Degree,33 Times,
7151,632252,70B3D500700016DE,1589450131476,hi3,2020-05-14 11:55:31.592566,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,46 cm,3640 mV,28 C,2 Degree,34 Times,
7150,632517,70B3D500700016DE,1589453731308,hi3,2020-05-14 12:55:31.420397,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,50 cm,3650 mV,33 C,3 Degree,35 Times,
7149,632794,70B3D500700016DE,1589457331158,hi3,2020-05-14 13:55:31.267178,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3650 mV,36 C,3 Degree,36 Times,
7148,633339,70B3D500700016DE,1589464530900,hi3,2020-05-14 15:55:31.001157,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3640 mV,31 C,3 Degree,38 Times,
7147,633602,70B3D500700016DE,1589468130692,hi3,2020-05-14 16:55:30.788748,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3630 mV,28 C,2 Degree,39 Times,
7146,634114,70B3D500700016DE,1589475330374,hi3,2020-05-14 18:55:30.465089,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3610 mV,17 C,2 Degree,41 Times,
7145,634349,70B3D500700016DE,1589478931850,hi3,2020-05-14 19:55:32.042901,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3600 mV,16 C,1 Degree,42 Times,
7144,634585,70B3D500700016DE,1589482531720,hi3,2020-05-14 20:55:31.910907,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3590 mV,17 C,1 Degree,43 Times,
7143,634809,70B3D500700016DE,1589486131592,hi3,2020-05-14 21:55:31.777542,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3580 mV,13 C,2 Degree,44 Times,
7142,635049,70B3D500700016DE,1589489731483,hi3,2020-05-14 22:55:31.665052,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3570 mV,14 C,2 Degree,45 Times,
7141,635290,70B3D500700016DE,1589493331374,hi3,2020-05-14 23:55:31.551911,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,12 C,1 Degree,46 Times,
7140,635528,70B3D500700016DE,1589496931285,hi3,2020-05-15 00:55:31.461135,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,10 C,1 Degree,47 Times,
7139,635761,70B3D500700016DE,1589500531196,hi3,2020-05-15 01:55:31.368801,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,9 C,1 Degree,48 Times,
7138,636001,70B3D500700016DE,1589504131111,hi3,2020-05-15 02:55:31.277376,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,10 C,2 Degree,49 Times,
7137,636480,70B3D500700016DE,1589511330950,hi3,2020-05-15 04:55:31.109266,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,9 C,1 Degree,51 Times,
7136,636737,70B3D500700016DE,1589514930841,hi3,2020-05-15 05:55:30.998884,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,9 C,1 Degree,52 Times,
7135,636988,70B3D500700016DE,1589518530792,hi3,2020-05-15 06:55:30.948398,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3560 mV,9 C,2 Degree,53 Times,
7134,637263,70B3D500700016DE,1589522130684,hi3,2020-05-15 07:55:30.836897,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,84 cm,3580 mV,9 C,1 Degree,54 Times,
7133,637769,70B3D500700016DE,1589529330426,hi3,2020-05-15 09:55:30.567266,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,80 cm,3620 mV,22 C,3 Degree,56 Times,
7132,638030,70B3D500700016DE,1589532930277,hi3,2020-05-15 10:55:30.415915,"['SS', 'Standalone', 'version_184']",700016de,SENS_EVENT_MEASURE,48 cm,3640 mV,30 C,2 Degree,57 Times,
